Object,Category,SpecType,R band (mag),Distance (pc),"Disk Major Axis """,Disk Diameter (AU),Inclination (degrees),RA (J2000),DEC (J2000),Star-Forming Region,Class,Fractional Infrared Luminosity
2MASSI J1628137-243139,TT,17.7,140,4.3,602,86,16 28 13.70,-24 31 39.0,,,
49 Cet,Debris,A1,5.6,59,9.8,578,79,01 34 37.78,-15 40 34.9,,,0.0011
61 Vir,Debris,G7V,4.2,8.5,22,187,77,13 18 24.31,-18 18 40.3,,,3.0E-5
99 Her,Debris,F7+K4,4.7,15.6,15.4,240,50,70 10 18,+30 33 43.7,,,1.4E-5
AA Tau,TT,M0,11.8,145,2,290,59,36 04 34,+24 28 53.2,Taurus,,0.13
AB Aur,HAe,A0e,7.1,144,18,2592,22,57 64 04,+30 33 03.6,,,0.05
AK Sco,HAe,F5,8.6,140,1.83,82,41.6,16 54 44.85,-36 53 18.56,UCL,,0.11
alpha CrB,Debris,A0 V,2.2,23,4,92,80,15 34 41.27,+26 42 52.9,,,1.7E-5
AS 205 A,TT,K0,12.8,128,0.414,53,20,16 11 31.36,-18 38 25.3,Ophiuchus II,,0.031
AS 205 B,TT,K7+M0,14,128,0.19,24,66,16 11 31.30,-18 38 27.3,Ophiuchus,,0.031
AS 209,TT,K5,10.4,121,2.3,278,35,16 49 15.31,-14 22 08.6,,,0.037
ASR 41,TT,,316,20,6320,80,97,03 28 51.32,+31 17 40.0,,,0.21
AU Mic,Debris,M1,8.9,9.94,29.25,291,90,20 45 09.53,-31 20 27.2,,,0.0002
BD+45° 598,Debris,K1,8.6,73,1.92,87,42.7,02 21 13.08,+46 00 07.2,,,0.045
beta Leo,Debris,A3V,2,11.1,7.1,79,32,21 11 49,+14 34 19.4,,,2.0E-5
beta Pictoris,Debris,A5,3.9,19.3,26,502,90,05 47 17.09,-51 03 59.5,,,0.002
beta Tri,Debris,A5 III,2.9,38.9,5.6,218,41,02 09 32.63,+34 59 14.3,,,2013
beta UMa,Debris,A1V,2.3,24.3,3.8,92.34,84,13 11 01,+56 22 56.7,,,1.3E-5
BP Psc,TT,,12.2,100,1.2,120,75,23 22 24.69,-02 13 41.4,,,0.03
BP Tau,TT,K7,11.1,140,1.5,210,30,39 44 04,+29 06 26.9,Taurus,,1
CAHA J23056+6016,YSO?,,3500,3,10500,10,74.5,23 05 37.52,+60 15 45.8,,,0.04
CB 26,YSO,,140,5.5,770,88,42.4,11 04 59,+52 04 43.8,,,0.13
CI Tau,TT,K7,12.3,158,2.2,348,50,40 04 33,+22 50 30.2,Taurus II,,0.12
CIDA 9,TT,M4,14.5,171,0.46,79,46,05 05 22.86,+25 31 31.2,II,,0.12
CoKu Tau 1,TT,M0,16.8,140,6.4,896,45.7,15 04 18,+28 20 28.0,Taurus,,0.14
CQ Tau,TT,F2,8.9,100,2.9,290,33,34 05 35,+24 44 54.1,,,1.17
CRBR 2422.8-3423,YSO,,125,1.5,187.5,70,4.3,11 16 27,-24 41 03.4,,,0.35
CY Tau,TT,M1,12.5,140,3.8,532,30,39 40 04,+28 20 47.0,Taurus,,1.5
DG Tau,TT,K6,11.4,140,0.4,56,31,97 04 27,+26 06 16.2,Taurus,,0.15
DG Tau B,TT,,140,3.93,550,75,28.1,17 04 27,+26 05 30.9,Taurus,,0.14
DL Tau,TT,K7,11.8,159,1.23,196,45,50 04 33,+25 20 38.1,Taurus II,,0.12
DM Tau,TT,M1,12.1,140,11.4,1596,32,39 63 04,+18 10 10.0,Taurus,,0.67
DN Tau,TT,M0,11.5,128,0.88,113,35,39 04 35,+24 14 59.1,Taurus II,,0.12
DO Tau,TT,M0,12.3,140,5.1,714,42,39 53 04,+26 10 49.4,Taurus,,3.2
DoAr 24 E,TT,G6,14.3,138,0.109,56,0.5,16 26 23.40,-24 21 00.8,Ophiuchus,,0.2
DoAr 25,TT,K7,12.7,138,2.4,331,67,12 16 26,-24 43 13.9,Ophiuchus,,0.031
DoAr 28,TT,K5,12.1,139,0.75,104,50,16 26 47.42,-23 14 52.2,Oph,,0.04025
DoAr 33,TT,K4,13.2,139,0.39,54,42,16 27 39.01,-23 58 18.7,Ophiuchus II,,0.03
DoAr 44,TT,K5,11.7,146,0.82,22,27.3,10 16 31,-24 27 37.3,,,0.03
DQ Tau,TT,M0 V,13.2,140,0.24,33.6,35,04 46 53.06,+17 00 00.1,,,0.57
DR Tau,TT,K4,13.6,140,0.6,84,67,51 04 47,+16 53 23.5,Taurus,,1.1
DS Tau,TT,M0,12.4,159,0.85,135,65,04 47 49.00,+29 25 11.2,Taurus II,,0.12
Elias 2-20,TT,M0,19.4,138,0.93,128,49,16 26 18.88,-24 28 19.7,Ophiuchus II,,0.028
Elias 2-24,TT,K5.5,15.8,136,2,272,29,16 26 24.09,-24 16 13.3,Ophiuchus,,0.035
Elias 2-27,YSO,M0,140,4.3,602,56,8.6,16 26 45.03,-24 23 07.8,Ophiuchus II,,0.5
epsilon Eri,Debris,K2,3.8,3.22,43,138,34,50 03 32,-09 27 29.7,,,0.00011
ESO Halpha 569,YSO,M2.5,19.7,160,0.8,128,83,11 11 10.83,-76 41 57.4,Cha I,,0.05243
ESO Halpha 574,TT,K7-M0,18.5,192,1.35,80,4.5,11 16 02.76,-76 24 53.2,Chamaeleon I,,0.3
eta Crv,Debris,F2 V,4.4,18.2,16.7,304,35,12 32 04.23,-16 11 45.6,,,3.0E-5
FN Tau,TT,M5,13.7,140,1.8,252,0,04 14 14.59,+28 27 58.1,Taurus,,0.04
Fomalhaut,Debris,A3,1.2,7.2,41,295,66,22 57 39.05,-29 37 20.1,,,8.0E-5
FT Tau,TT,M3,13.2,127,0.66,84,36,15 04 23,+24 56 14.4,Taurus II,,0.12
FW Tau C,TT,,20.9,140,1.01,141,63,04 29 29.71,+26 16 53.2,Taurus,,0.3
gamma Dor,Debris,F1,4,20.5,12,246,69,04 16 01.58,-51 29 11.9,,,2.6E-5
gamma Oph,Debris,A0,3.7,29.1,36,1048,50,17 47 53.56,+02 42 26.2,,,7.5E-5
gamma Tri,Debris,A1V,3.9,34.4,8,275,83,02 17 18.87,+33 50 49.9,,,6.4E-5
GG Tau,TT,K7,10.8,140,8.6,1204,37,22 31 04,+17 31 41.0,Taurus,,0.88
GJ 581,Debris,M3,9.5,6.4,19,122,59,70 12 15,-07 43 19.4,,,8.9E-5
GM Aur,TT,K7,11.2,140,5,700,54,70 04 55,+30 21 59.7,,,0.09
GO Tau,TT,K5,13.6,140,2,280,66,14 04 43,+25 20 18.7,Taurus,,2.1
GSS 39,YSO,M0,125,3.17,396.3,60,4,16 26 45.06,-24 23 07.7,,,0.8
GW Lup,TT,M1.5,12.7,155,1.355,210,39,71 15 46,-34 30 35.7,Lupus II,,0.044
Haro 6-13,YSO,M0,15,140,2.57,359.8,40,04 32 15.41,+24 28 59.7,,,1.4
Haro 6-5B,YSO,K5,13.6,140,4,560,77,17 04 22,+26 57 33.3,,,0.14
HD 100453,HAe,A9Ve,7.8,103,0.84,87,38,11 33 05.57,-54 19 28.5,,,0.02063
HD 100546,HAe,B9,6.7,103,7,721,51,37 11 33,-70 11 41.2,,,0.14
HD 104860,Debris,F8,8,47.9,5.2,249,54,12 04 33.73,+66 20 11.7,,,0.000663
HD 10647,Debris,F8 V,5.5,17.34,19,329,51,01 42 29.32,-53 44 27.0,,,0.0004
HD 106906,Debris,F5,8.24,92,2.11,194,85,12 17 53.19,-55 58 31.9,Sco-Cen,,0.0013
HD 107146,Debris,G2,6.7,27.5,16,440,18,21 12 19,+16 32 53.9,,,0.0012
HD 10939,Debris,A1V,5.12,57,5.6,319,32,01 46 06.26,-53 31 19.3,,,7.6E-5
HD 110058,Debris,A0,7.99,107,2.24,240,50,12 39 46.20,-49 11 55.5,Sco-Cen,,0.0015
HD 111161,Debris,A3III,7.5,109,1.3,62,31.7,12 48 16.67,-67 07 52.4,Sco-Cen,,0.041
HD 111520,Debris,F5 V,9.27,108,2.15,232,88,12 50 19.72,-49 51 49.0,Sco-Cen,,0.002
HD 112810,Debris,F3,9.51,143,1.96,280,83,12 59 59.89,-50 23 22.5,Sco-Cen,,0.0008
HD 113766,Debris,F3/5,7.96,123,1.13,139,70,13 06 35.84,-46 02 02.0,Sco-Cen,,0.0021
HD 114082,Debris,F3V,8.58,92,0.62,57,83,13 09 16.19,-60 18 30.1,Sco-Cen –74.3,,0.0033
HD 115600,Debris,F2,8.57,110.5,0.99,109,79,13 19 19.54,-59 28 20.4,Sco-Cen,,0.0016
HD 117214,Debris,F6V,7.6,108,0.84,91,71,13 30 08.97,-58 29 04.4,Sco-Cen,,0.0025
HD 121191,Debris,A5,8,132,1.3,30,1.4,13 55 18.88,-53 31 42.7,,,0.0024
HD 121617,Debris,A1,7.2,117,1.29,37,2.3,13 57 41.13,-47 00 34.2,Sco-Cen,,0.005
HD 129590,Debris,G1V,9.86,136,1.65,224,75,14 44 30.96,-39 59 20.6,Sco-Cen,,0.005
HD 131488,Debris,A1,7.9,155,1.14,82,2.1,14 55 08.03,-41 07 13.4,Sco-Cen,,0.006
HD 131835,Debris,A2IV,7.95,120,3.5,420,75.1,14 56 54.47,-35 41 43.7,Sco-Cen,,0.002
HD 135344B,HAe,F4Ve,8.7,140,1.15,161,20,15 15 48.44,-37 09 16.0,,,0.1
HD 138813,Debris,A0,7.32,151,1.85,279,28,15 35 16.11,-25 44 03.0,Upper Sco,,0.001
HD 138965,Debris,A1V,6.51,77.3,4.8,371,37,15 40 11.56,-70 13 40.4,,,0.00033
HD 139664,Debris,F5 IV-V,4.7,17.5,12,210,87,22 15 41,-44 39 40.3,,,0.00012
HD 141378,Debris,A5IV,5.61,49.2,4.8,236,15,15 48 56.80,-03 49 06.6,,,5.6e-05
HD 141569A,Trans,B9.5,7.1,111,7.5,833,51,55 15 49,-03 55 16.2,,,0.0084
HD 141943,Debris,G2V,7.5,67,5,335,85,15 53 27.29,+15 50 02.4,,,0.00012
HD 142446,Debris,F3V,9.32,144,2.5,360,20,15 56 05.63,-36 53 34.3,Sco-Cen,,0.0007
HD 142527,HAe,F6,8.4,140,7,980,30,65 35 15,-42 19 23.3,,,0.04
HD 142666,TT,A8,8.3,148,0.8,118,62,15 56 40.02,-22 01 40.0,Upper Sco II,,0.027
HD 143006,TT,G7,9.6,165,1,165,19,15 58 36.91,-22 57 15.2,Upper Sco II,,0.027
HD 143675,Debris,A5,7.9,139,0.7,87,17.2,16 03 13.54,-35 17 14.9,,,0.00056
HD 145560,Debris,F5,9.3,120,1.9,44,46.3,16 13 34.33,-45 49 03.7,Sco-Cen,,0.0002
HD 146181,Debris,F6,9.56,146,1.41,206,79,16 16 28.37,-38 44 12.4,Sco-Cen,,0.0026
HD 150193A,HAe,A2 IV,8.9,150,2.6,390,38,55 16 40,-23 53 45.2,,,0.04
HD 15115,Debris,F2,6.8,45,19.8,891,80,20 02 26,+06 17 33.1,,,0.0005
HD 153053,Debris,A5IV,5.72,50.7,7.4,375,37,17 00 06.28,-54 35 49.8,,,3.7E-5
HD 156623,Debris,A0V,7.28,118,2.54,30,1.9,17 20 50.62,-45 25 14.5,,,0.004
HD 15745,Debris,F2,7.5,64,7.5,480,52,02 32 55.81,+37 20 01.4,,,0.0012
HD 157587,Debris,F5V,8.1,107,1.5,70,36.4,17 24 52.24,-18 51 33.2,,,0.0032
HD 159492,Debris,A5IV,5.33,42.2,5.4,228,40,17 38 05.52,-54 30 01.6,,,6.1e-05
